,metric,alpha,mse
0,w_Hpyr,0.0,2.183001467981574
1,w_Hpyr,0.01,2.183007648488507
2,w_Hpyr,0.016838980323928915,2.183018831983356
3,w_Hpyr,0.02835512583496652,2.183050371478422
4,w_Hpyr,0.047747140601752946,2.1831393923726905
5,w_Hpyr,0.08040131611167854,2.183390886125788
6,w_Hpyr,0.13538761800225438,2.184102182777784
7,w_Hpyr,0.2279789435643565,2.1861199619082283
8,w_Hpyr,0.38389329449502996,2.1900381962920252
9,w_Hpyr,0.6464371632490059,2.1915195765493634
10,w_Hpyr,1.0885342672606435,2.193861152503794
11,w_Hpyr,1.8329807108324356,2.2004888823314777
12,w_Hpyr,3.086552612384862,2.210816829100051
13,w_Hpyr,5.197439870872004,2.2219353040733383
14,w_Hpyr,8.751958772041732,2.2310810980348976
15,w_Hpyr,14.73740615582478,2.244679920687827
16,w_Hpyr,24.816289228368237,2.2836867604799864
17,w_Hpyr,41.78810060294219,2.3843395783978543
18,w_Hpyr,70.36690038273056,2.6542053802947283
19,w_Hpyr,118.4906851000666,3.4040534055307567
20,w_Hpyr,199.52623149688787,4.583333333333333
21,w_Hpyr,0.0,2.183001467981574
22,w_Hpyr,0.01,2.183007648488507
23,w_Hpyr,0.016838980323928915,2.183018831983356
24,w_Hpyr,0.02835512583496652,2.183050371478422
25,w_Hpyr,0.047747140601752946,2.1831393923726905
26,w_Hpyr,0.08040131611167854,2.183390886125788
27,w_Hpyr,0.13538761800225438,2.184102182777784
28,w_Hpyr,0.2279789435643565,2.1861199619082283
29,w_Hpyr,0.38389329449502996,2.1900381962920252
30,w_Hpyr,0.6464371632490059,2.1915195765493634
31,w_Hpyr,1.0885342672606435,2.193861152503794
32,w_Hpyr,1.8329807108324356,2.2004888823314777
33,w_Hpyr,3.086552612384862,2.210816829100051
34,w_Hpyr,5.197439870872004,2.2219353040733383
35,w_Hpyr,8.751958772041732,2.2310810980348976
36,w_Hpyr,14.73740615582478,2.244679920687827
37,w_Hpyr,24.816289228368237,2.2836867604799864
38,w_Hpyr,41.78810060294219,2.3843395783978543
39,w_Hpyr,70.36690038273056,2.6542053802947283
40,w_Hpyr,118.4906851000666,3.4040534055307567
41,w_Hpyr,199.52623149688787,4.583333333333333
42,w_Hpyr,0.0,2.183001467981574
43,w_Hpyr,0.01,2.183007648488507
44,w_Hpyr,0.016838980323928915,2.183018831983356
45,w_Hpyr,0.02835512583496652,2.183050371478422
46,w_Hpyr,0.047747140601752946,2.1831393923726905
47,w_Hpyr,0.08040131611167854,2.183390886125788
48,w_Hpyr,0.13538761800225438,2.184102182777784
49,w_Hpyr,0.2279789435643565,2.1861199619082283
50,w_Hpyr,0.38389329449502996,2.1900381962920252
51,w_Hpyr,0.6464371632490059,2.1915195765493634
52,w_Hpyr,1.0885342672606435,2.193861152503794
53,w_Hpyr,1.8329807108324356,2.2004888823314777
54,w_Hpyr,3.086552612384862,2.210816829100051
55,w_Hpyr,5.197439870872004,2.2219353040733383
56,w_Hpyr,8.751958772041732,2.2310810980348976
57,w_Hpyr,14.73740615582478,2.244679920687827
58,w_Hpyr,24.816289228368237,2.2836867604799864
59,w_Hpyr,41.78810060294219,2.3843395783978543
60,w_Hpyr,70.36690038273056,2.6542053802947283
61,w_Hpyr,118.4906851000666,3.4040534055307567
62,w_Hpyr,199.52623149688787,4.583333333333333
63,w_Hpyr,0.0,2.183001467981574
64,w_Hpyr,0.01,2.183007648488507
65,w_Hpyr,0.016838980323928915,2.183018831983356
66,w_Hpyr,0.02835512583496652,2.183050371478422
67,w_Hpyr,0.047747140601752946,2.1831393923726905
68,w_Hpyr,0.08040131611167854,2.183390886125788
69,w_Hpyr,0.13538761800225438,2.184102182777784
70,w_Hpyr,0.2279789435643565,2.1861199619082283
71,w_Hpyr,0.38389329449502996,2.1900381962920252
72,w_Hpyr,0.6464371632490059,2.1915195765493634
73,w_Hpyr,1.0885342672606435,2.193861152503794
74,w_Hpyr,1.8329807108324356,2.2004888823314777
75,w_Hpyr,3.086552612384862,2.210816829100051
76,w_Hpyr,5.197439870872004,2.2219353040733383
77,w_Hpyr,8.751958772041732,2.2310810980348976
78,w_Hpyr,14.73740615582478,2.244679920687827
79,w_Hpyr,24.816289228368237,2.2836867604799864
80,w_Hpyr,41.78810060294219,2.3843395783978543
81,w_Hpyr,70.36690038273056,2.6542053802947283
82,w_Hpyr,118.4906851000666,3.4040534055307567
83,w_Hpyr,199.52623149688787,4.583333333333333
84,w_Hpyr,0.0,2.183001467981574
85,w_Hpyr,0.01,2.183007648488507
86,w_Hpyr,0.016838980323928915,2.183018831983356
87,w_Hpyr,0.02835512583496652,2.183050371478422
88,w_Hpyr,0.047747140601752946,2.1831393923726905
89,w_Hpyr,0.08040131611167854,2.183390886125788
90,w_Hpyr,0.13538761800225438,2.184102182777784
91,w_Hpyr,0.2279789435643565,2.1861199619082283
92,w_Hpyr,0.38389329449502996,2.1900381962920252
93,w_Hpyr,0.6464371632490059,2.1915195765493634
94,w_Hpyr,1.0885342672606435,2.193861152503794
95,w_Hpyr,1.8329807108324356,2.2004888823314777
