,metric,alpha,mse
0,w_Hengaging,0.0,0.3089602736752673
1,w_Hengaging,0.01,0.30959716851656727
2,w_Hengaging,0.016838980323928915,0.3107649326124898
3,w_Hengaging,0.02835512583496652,0.3140751395841437
4,w_Hengaging,0.047747140601752946,0.32240846684531194
5,w_Hengaging,0.08040131611167854,0.32951646690180775
6,w_Hengaging,0.13538761800225438,0.34020296314029946
7,w_Hengaging,0.2279789435643565,0.34558100915345963
8,w_Hengaging,0.38389329449502996,0.3608299433865081
9,w_Hengaging,0.6464371632490059,0.40406739163257055
10,w_Hengaging,1.0885342672606435,0.5
11,w_Hengaging,1.8329807108324356,0.5
12,w_Hengaging,3.086552612384862,0.5
13,w_Hengaging,5.197439870872004,0.5
14,w_Hengaging,8.751958772041732,0.5
15,w_Hengaging,14.73740615582478,0.5
16,w_Hengaging,24.816289228368237,0.5
17,w_Hengaging,41.78810060294219,0.5
18,w_Hengaging,70.36690038273056,0.5
19,w_Hengaging,118.4906851000666,0.5
20,w_Hengaging,199.52623149688787,0.5
21,w_Hengaging,0.0,0.3089602736752673
22,w_Hengaging,0.01,0.30959716851656727
23,w_Hengaging,0.016838980323928915,0.3107649326124898
24,w_Hengaging,0.02835512583496652,0.3140751395841437
25,w_Hengaging,0.047747140601752946,0.32240846684531194
26,w_Hengaging,0.08040131611167854,0.32951646690180775
27,w_Hengaging,0.13538761800225438,0.34020296314029946
28,w_Hengaging,0.2279789435643565,0.34558100915345963
29,w_Hengaging,0.38389329449502996,0.3608299433865081
30,w_Hengaging,0.6464371632490059,0.40406739163257055
31,w_Hengaging,1.0885342672606435,0.5
32,w_Hengaging,1.8329807108324356,0.5
33,w_Hengaging,3.086552612384862,0.5
34,w_Hengaging,5.197439870872004,0.5
35,w_Hengaging,8.751958772041732,0.5
36,w_Hengaging,14.73740615582478,0.5
37,w_Hengaging,24.816289228368237,0.5
38,w_Hengaging,41.78810060294219,0.5
39,w_Hengaging,70.36690038273056,0.5
40,w_Hengaging,118.4906851000666,0.5
41,w_Hengaging,199.52623149688787,0.5
42,w_Hengaging,0.0,0.3089602736752673
43,w_Hengaging,0.01,0.30959716851656727
44,w_Hengaging,0.016838980323928915,0.3107649326124898
45,w_Hengaging,0.02835512583496652,0.3140751395841437
46,w_Hengaging,0.047747140601752946,0.32240846684531194
47,w_Hengaging,0.08040131611167854,0.32951646690180775
