,metric,alpha,mse
0,w_Hpyr,0.0,3.1491069983353825
1,w_Hpyr,0.01,3.1491124477751247
2,w_Hpyr,0.016838980323928915,3.1491205700670344
3,w_Hpyr,0.02835512583496652,3.1491436178500227
4,w_Hpyr,0.047747140601752946,3.149211225757436
5,w_Hpyr,0.08040131611167854,3.149400458454947
6,w_Hpyr,0.13538761800225438,3.1499334342892737
7,w_Hpyr,0.2279789435643565,3.15143765530771
8,w_Hpyr,0.38389329449502996,3.1556322896417406
9,w_Hpyr,0.6464371632490059,3.162230302582235
10,w_Hpyr,1.0885342672606435,3.166944748129367
11,w_Hpyr,1.8329807108324356,3.1695840760596288
12,w_Hpyr,3.086552612384862,3.170413663075931
13,w_Hpyr,5.197439870872004,3.1727665813729775
14,w_Hpyr,8.751958772041732,3.179439259063202
15,w_Hpyr,14.73740615582478,3.1981590023870026
16,w_Hpyr,24.816289228368237,3.2498527724485236
17,w_Hpyr,41.78810060294219,3.395789853658707
18,w_Hpyr,70.36690038273056,3.801702575311588
19,w_Hpyr,118.4906851000666,4.083333333333333
20,w_Hpyr,199.52623149688787,4.083333333333333
21,w_Hpyr,0.0,3.1491069983353825
22,w_Hpyr,0.01,3.1491124477751247
23,w_Hpyr,0.016838980323928915,3.1491205700670344
24,w_Hpyr,0.02835512583496652,3.1491436178500227
25,w_Hpyr,0.047747140601752946,3.149211225757436
26,w_Hpyr,0.08040131611167854,3.149400458454947
27,w_Hpyr,0.13538761800225438,3.1499334342892737
28,w_Hpyr,0.2279789435643565,3.15143765530771
29,w_Hpyr,0.38389329449502996,3.1556322896417406
30,w_Hpyr,0.6464371632490059,3.162230302582235
31,w_Hpyr,1.0885342672606435,3.166944748129367
32,w_Hpyr,1.8329807108324356,3.1695840760596288
33,w_Hpyr,3.086552612384862,3.170413663075931
34,w_Hpyr,5.197439870872004,3.1727665813729775
35,w_Hpyr,8.751958772041732,3.179439259063202
36,w_Hpyr,14.73740615582478,3.1981590023870026
37,w_Hpyr,24.816289228368237,3.2498527724485236
38,w_Hpyr,41.78810060294219,3.395789853658707
39,w_Hpyr,70.36690038273056,3.801702575311588
40,w_Hpyr,118.4906851000666,4.083333333333333
41,w_Hpyr,199.52623149688787,4.083333333333333
42,w_Hpyr,0.0,3.1491069983353825
43,w_Hpyr,0.01,3.1491124477751247
44,w_Hpyr,0.016838980323928915,3.1491205700670344
45,w_Hpyr,0.02835512583496652,3.1491436178500227
46,w_Hpyr,0.047747140601752946,3.149211225757436
47,w_Hpyr,0.08040131611167854,3.149400458454947
48,w_Hpyr,0.13538761800225438,3.1499334342892737
49,w_Hpyr,0.2279789435643565,3.15143765530771
50,w_Hpyr,0.38389329449502996,3.1556322896417406
51,w_Hpyr,0.6464371632490059,3.162230302582235
52,w_Hpyr,1.0885342672606435,3.166944748129367
53,w_Hpyr,1.8329807108324356,3.1695840760596288
54,w_Hpyr,3.086552612384862,3.170413663075931
55,w_Hpyr,5.197439870872004,3.1727665813729775
56,w_Hpyr,8.751958772041732,3.179439259063202
57,w_Hpyr,14.73740615582478,3.1981590023870026
58,w_Hpyr,24.816289228368237,3.2498527724485236
59,w_Hpyr,41.78810060294219,3.395789853658707
60,w_Hpyr,70.36690038273056,3.801702575311588
61,w_Hpyr,118.4906851000666,4.083333333333333
62,w_Hpyr,199.52623149688787,4.083333333333333
63,w_Hpyr,0.0,3.1491069983353825
64,w_Hpyr,0.01,3.1491124477751247
65,w_Hpyr,0.016838980323928915,3.1491205700670344
66,w_Hpyr,0.02835512583496652,3.1491436178500227
67,w_Hpyr,0.047747140601752946,3.149211225757436
68,w_Hpyr,0.08040131611167854,3.149400458454947
69,w_Hpyr,0.13538761800225438,3.1499334342892737
70,w_Hpyr,0.2279789435643565,3.15143765530771
71,w_Hpyr,0.38389329449502996,3.1556322896417406
72,w_Hpyr,0.6464371632490059,3.162230302582235
73,w_Hpyr,1.0885342672606435,3.166944748129367
74,w_Hpyr,1.8329807108324356,3.1695840760596288
75,w_Hpyr,3.086552612384862,3.170413663075931
76,w_Hpyr,5.197439870872004,3.1727665813729775
77,w_Hpyr,8.751958772041732,3.179439259063202
78,w_Hpyr,14.73740615582478,3.1981590023870026
79,w_Hpyr,24.816289228368237,3.2498527724485236
80,w_Hpyr,41.78810060294219,3.395789853658707
81,w_Hpyr,70.36690038273056,3.801702575311588
82,w_Hpyr,118.4906851000666,4.083333333333333
83,w_Hpyr,199.52623149688787,4.083333333333333
84,w_Hpyr,0.0,3.1491069983353825
85,w_Hpyr,0.01,3.1491124477751247
86,w_Hpyr,0.016838980323928915,3.1491205700670344
87,w_Hpyr,0.02835512583496652,3.1491436178500227
88,w_Hpyr,0.047747140601752946,3.149211225757436
89,w_Hpyr,0.08040131611167854,3.149400458454947
90,w_Hpyr,0.13538761800225438,3.1499334342892737
91,w_Hpyr,0.2279789435643565,3.15143765530771
92,w_Hpyr,0.38389329449502996,3.1556322896417406
93,w_Hpyr,0.6464371632490059,3.162230302582235
94,w_Hpyr,1.0885342672606435,3.166944748129367
95,w_Hpyr,1.8329807108324356,3.1695840760596288
96,w_Hpyr,3.086552612384862,3.170413663075931
97,w_Hpyr,5.197439870872004,3.1727665813729775
98,w_Hpyr,8.751958772041732,3.179439259063202
99,w_Hpyr,14.73740615582478,3.1981590023870026
100,w_Hpyr,24.816289228368237,3.2498527724485236
101,w_Hpyr,41.78810060294219,3.395789853658707
102,w_Hpyr,70.36690038273056,3.801702575311588
103,w_Hpyr,118.4906851000666,4.083333333333333
104,w_Hpyr,199.52623149688787,4.083333333333333
105,w_Hpyr,0.0,3.1491069983353825
106,w_Hpyr,0.01,3.1491124477751247
107,w_Hpyr,0.016838980323928915,3.1491205700670344
108,w_Hpyr,0.02835512583496652,3.1491436178500227
109,w_Hpyr,0.047747140601752946,3.149211225757436
110,w_Hpyr,0.08040131611167854,3.149400458454947
111,w_Hpyr,0.13538761800225438,3.1499334342892737
112,w_Hpyr,0.2279789435643565,3.15143765530771
113,w_Hpyr,0.38389329449502996,3.1556322896417406
114,w_Hpyr,0.6464371632490059,3.162230302582235
115,w_Hpyr,1.0885342672606435,3.166944748129367
116,w_Hpyr,1.8329807108324356,3.1695840760596288
117,w_Hpyr,3.086552612384862,3.170413663075931
118,w_Hpyr,5.197439870872004,3.1727665813729775
119,w_Hpyr,8.751958772041732,3.179439259063202
120,w_Hpyr,14.73740615582478,3.1981590023870026
121,w_Hpyr,24.816289228368237,3.2498527724485236
122,w_Hpyr,41.78810060294219,3.395789853658707
123,w_Hpyr,70.36690038273056,3.801702575311588
124,w_Hpyr,118.4906851000666,4.083333333333333
125,w_Hpyr,199.52623149688787,4.083333333333333
126,w_Hpyr,0.0,3.1491069983353825
127,w_Hpyr,0.01,3.1491124477751247
128,w_Hpyr,0.016838980323928915,3.1491205700670344
129,w_Hpyr,0.02835512583496652,3.1491436178500227
130,w_Hpyr,0.047747140601752946,3.149211225757436
131,w_Hpyr,0.08040131611167854,3.149400458454947
132,w_Hpyr,0.13538761800225438,3.1499334342892737
133,w_Hpyr,0.2279789435643565,3.15143765530771
134,w_Hpyr,0.38389329449502996,3.1556322896417406
135,w_Hpyr,0.6464371632490059,3.162230302582235
136,w_Hpyr,1.0885342672606435,3.166944748129367
137,w_Hpyr,1.8329807108324356,3.1695840760596288
138,w_Hpyr,3.086552612384862,3.170413663075931
139,w_Hpyr,5.197439870872004,3.1727665813729775
140,w_Hpyr,8.751958772041732,3.179439259063202
141,w_Hpyr,14.73740615582478,3.1981590023870026
142,w_Hpyr,24.816289228368237,3.2498527724485236
143,w_Hpyr,41.78810060294219,3.395789853658707
144,w_Hpyr,70.36690038273056,3.801702575311588
145,w_Hpyr,118.4906851000666,4.083333333333333
146,w_Hpyr,199.52623149688787,4.083333333333333
147,w_Hpyr,0.0,3.1491069983353825
148,w_Hpyr,0.01,3.1491124477751247
149,w_Hpyr,0.016838980323928915,3.1491205700670344
150,w_Hpyr,0.02835512583496652,3.1491436178500227
151,w_Hpyr,0.047747140601752946,3.149211225757436
152,w_Hpyr,0.08040131611167854,3.149400458454947
153,w_Hpyr,0.13538761800225438,3.1499334342892737
154,w_Hpyr,0.2279789435643565,3.15143765530771
155,w_Hpyr,0.38389329449502996,3.1556322896417406
156,w_Hpyr,0.6464371632490059,3.162230302582235
157,w_Hpyr,1.0885342672606435,3.166944748129367
158,w_Hpyr,1.8329807108324356,3.1695840760596288
159,w_Hpyr,3.086552612384862,3.170413663075931
160,w_Hpyr,5.197439870872004,3.1727665813729775
161,w_Hpyr,8.751958772041732,3.179439259063202
162,w_Hpyr,14.73740615582478,3.1981590023870026
163,w_Hpyr,24.816289228368237,3.2498527724485236
164,w_Hpyr,41.78810060294219,3.395789853658707
165,w_Hpyr,70.36690038273056,3.801702575311588
166,w_Hpyr,118.4906851000666,4.083333333333333
167,w_Hpyr,199.52623149688787,4.083333333333333
168,w_Hpyr,0.0,3.1491069983353825
169,w_Hpyr,0.01,3.1491124477751247
170,w_Hpyr,0.016838980323928915,3.1491205700670344
171,w_Hpyr,0.02835512583496652,3.1491436178500227
172,w_Hpyr,0.047747140601752946,3.149211225757436
173,w_Hpyr,0.08040131611167854,3.149400458454947
174,w_Hpyr,0.13538761800225438,3.1499334342892737
175,w_Hpyr,0.2279789435643565,3.15143765530771
176,w_Hpyr,0.38389329449502996,3.1556322896417406
177,w_Hpyr,0.6464371632490059,3.162230302582235
178,w_Hpyr,1.0885342672606435,3.166944748129367
179,w_Hpyr,1.8329807108324356,3.1695840760596288
180,w_Hpyr,3.086552612384862,3.170413663075931
181,w_Hpyr,5.197439870872004,3.1727665813729775
182,w_Hpyr,8.751958772041732,3.179439259063202
183,w_Hpyr,14.73740615582478,3.1981590023870026
184,w_Hpyr,24.816289228368237,3.2498527724485236
185,w_Hpyr,41.78810060294219,3.395789853658707
186,w_Hpyr,70.36690038273056,3.801702575311588
187,w_Hpyr,118.4906851000666,4.083333333333333
188,w_Hpyr,199.52623149688787,4.083333333333333
189,w_Hpyr,0.0,3.1491069983353825
