,metric,alpha,mse
0,w_Hoverall,0.0,6.01877213823481
1,w_Hoverall,0.01,6.018772422348508
2,w_Hoverall,0.016838980323928915,6.01877295079949
3,w_Hoverall,0.02835512583496652,6.018774438924673
4,w_Hoverall,0.047747140601752946,6.018778651863316
5,w_Hoverall,0.08040131611167854,6.018790582013774
6,w_Hoverall,0.13538761800225438,6.018824363324542
7,w_Hoverall,0.2279789435643565,6.018920036386335
8,w_Hoverall,0.38389329449502996,6.019176906220181
9,w_Hoverall,0.6464371632490059,6.019926979622232
10,w_Hoverall,1.0885342672606435,6.0217955881004865
11,w_Hoverall,1.8329807108324356,6.027028374473217
12,w_Hoverall,3.086552612384862,6.035824983958604
13,w_Hoverall,5.197439870872004,6.042117081171898
14,w_Hoverall,8.751958772041732,6.059933844885926
15,w_Hoverall,14.73740615582478,6.1094990788624255
16,w_Hoverall,24.816289228368237,6.151216291153933
17,w_Hoverall,41.78810060294219,6.192379028125571
18,w_Hoverall,70.36690038273056,6.244606372813578
19,w_Hoverall,118.4906851000666,6.383345797041334
20,w_Hoverall,199.52623149688787,6.739300031804217
21,w_Hoverall,0.0,6.01877213823481
22,w_Hoverall,0.01,6.018772422348508
23,w_Hoverall,0.016838980323928915,6.01877295079949
24,w_Hoverall,0.02835512583496652,6.018774438924673
25,w_Hoverall,0.047747140601752946,6.018778651863316
26,w_Hoverall,0.08040131611167854,6.018790582013774
27,w_Hoverall,0.13538761800225438,6.018824363324542
28,w_Hoverall,0.2279789435643565,6.018920036386335
29,w_Hoverall,0.38389329449502996,6.019176906220181
30,w_Hoverall,0.6464371632490059,6.019926979622232
31,w_Hoverall,1.0885342672606435,6.0217955881004865
32,w_Hoverall,1.8329807108324356,6.027028374473217
33,w_Hoverall,3.086552612384862,6.035824983958604
34,w_Hoverall,5.197439870872004,6.042117081171898
35,w_Hoverall,8.751958772041732,6.059933844885926
36,w_Hoverall,14.73740615582478,6.1094990788624255
37,w_Hoverall,24.816289228368237,6.151216291153933
38,w_Hoverall,41.78810060294219,6.192379028125571
39,w_Hoverall,70.36690038273056,6.244606372813578
40,w_Hoverall,118.4906851000666,6.383345797041334
41,w_Hoverall,199.52623149688787,6.739300031804217
42,w_Hoverall,0.0,6.01877213823481
43,w_Hoverall,0.01,6.018772422348508
44,w_Hoverall,0.016838980323928915,6.01877295079949
45,w_Hoverall,0.02835512583496652,6.018774438924673
46,w_Hoverall,0.047747140601752946,6.018778651863316
47,w_Hoverall,0.08040131611167854,6.018790582013774
48,w_Hoverall,0.13538761800225438,6.018824363324542
49,w_Hoverall,0.2279789435643565,6.018920036386335
50,w_Hoverall,0.38389329449502996,6.019176906220181
51,w_Hoverall,0.6464371632490059,6.019926979622232
52,w_Hoverall,1.0885342672606435,6.0217955881004865
53,w_Hoverall,1.8329807108324356,6.027028374473217
54,w_Hoverall,3.086552612384862,6.035824983958604
55,w_Hoverall,5.197439870872004,6.042117081171898
56,w_Hoverall,8.751958772041732,6.059933844885926
57,w_Hoverall,14.73740615582478,6.1094990788624255
58,w_Hoverall,24.816289228368237,6.151216291153933
59,w_Hoverall,41.78810060294219,6.192379028125571
60,w_Hoverall,70.36690038273056,6.244606372813578
61,w_Hoverall,118.4906851000666,6.383345797041334
62,w_Hoverall,199.52623149688787,6.739300031804217
63,w_Hoverall,0.0,6.01877213823481
64,w_Hoverall,0.01,6.018772422348508
65,w_Hoverall,0.016838980323928915,6.01877295079949
66,w_Hoverall,0.02835512583496652,6.018774438924673
